"X" "Y"
0 -0.0812884878787019
1 -0.00418223959466668
2 1.38174896677797
3 1.08431306014004
4 2.59608251635688
5 1.38360274802742
6 3.57146546062634
7 3.40712483075563
8 2.8674981221027
9 2.95537556794437
10 2.93665869181319
11 4.78706633115818
12 0.837616424517853
13 2.52031768872422
14 6.59075725721427
15 4.45183954148764
16 6.25015467712841
17 4.14665511634543
18 3.72862129998121
19 3.18344832062955
20 5.32953151663271
21 4.63934677974611
22 5.29719798997232
23 5.06813823312019
24 6.34743072278747
25 7.85534130594802
26 2.48608319893065
27 3.73715143883094
28 6.86234279684492
29 4.6340697097724
30 4.99255153006908
31 7.53610590658398
32 9.80320431835953
33 8.44755459957391
34 7.08666294021338
35 7.37426415760932
36 6.64620700924401
37 9.18356686503333
38 8.95309758599644
39 8.88341256434719
40 8.17931562503063
41 12.0079421610058
42 9.72794944041447
43 9.07653061955431
44 10.8199809363387
45 6.17498682410098
46 9.09046969238834
47 9.7154875558208
48 10.9431837841166
49 10.5979985273173
50 9.4068596174926
51 12.0511782929212
52 11.4674224060767
53 10.8159724708876
54 14.5215048230013
55 10.1316409877848
56 13.6835455655144
57 11.4412193329302
58 13.960147354141
59 12.9393266393904
60 11.0227207025929
61 11.6233287159393
62 15.8956874478572
63 16.2378409446512
64 14.4099757686323
65 13.6849989480292
66 14.3380631398063
67 12.8083944650029
68 17.1972708143978
69 16.367558746968
70 14.7392573930419
71 16.6287737606825
72 15.7824670951754
73 16.5352118719644
74 18.6096262293464
75 14.4235618263318
76 15.3715970001339
77 15.5426973483573
78 16.1798530884025
79 15.6123986116327
80 17.5626873990517
81 17.4677348615995
82 17.3710022813513
83 16.0106563499171
84 17.1972396461204
85 21.0542028789791
86 17.8272113193259
87 20.7753342543863
88 18.1912434329763
89 18.390789362638
90 18.6902497636007
91 19.958878903283
92 19.1704841535955
93 18.2459144710096
94 18.342634557734
95 20.1724855377909
96 20.8243886241632
97 20.2366493652802
98 20.6637465423968
99 21.3503952346237
100 19.8681118731785
0 1.54153074532361
1 -0.425888293983541
2 3.30822027070643
3 3.29155197325778
4 0.379516255135138
5 0.97484524585844
6 1.87666034287513
7 2.28813748092806
8 1.72603773882444
9 3.68877126759417
10 3.21591037581604
11 1.31378829025018
12 0.508026674410947
13 2.2500507327325
14 4.55493120328242
15 3.49182039238614
16 4.46630093889976
17 2.90113153264851
18 4.35930707747247
19 2.00304277064938
20 7.71320262130977
21 7.04509030123031
22 7.34158395741794
23 5.11308098236986
24 6.04904142524645
25 8.16998248692674
26 5.50762106421505
27 4.63383768560757
28 5.63989437613295
29 7.51974161803735
30 10.1330750641546
31 8.15915651337492
32 7.13808754231667
33 8.55351531964529
34 8.00842135548563
35 7.65277733985263
36 7.56742417535249
37 9.66093690280711
38 10.1224131763298
39 7.26464309111508
40 9.1656177329794
41 11.49278489884
42 9.52788476404071
43 5.03980787374439
44 8.2594261788446
45 10.6437790323546
46 10.8641619212846
